Race - Ethnicity,Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison
White - Non-Hispanic,2010,F,39.5,C Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Alcohol,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,F,39.5,C Felony,Arson,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
American Indian or Alaska Native - Non-Hispanic,2010,M,29.5,D Felony,Assault,Parole,3JD,Yes
White - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Assault,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Burglary,Parole,4JD,Yes
American Indian or Alaska Native - Non-Hispanic,2010,M,39.5,C Felony,Burglary,Parole,7JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Drug Possession,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2014,M,39.5,C Felony,Sex,N/A,N/A,No
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Theft,Parole,7JD,Yes
White - Non-Hispanic,2010,F,21.5,D Felony,Forgery/Fraud,Parole,5JD,Yes
White - Non-Hispanic,2010,M,66.87,Aggravated Misdemeanor,Traffic,Parole,2JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Sex,Special Sentence,4JD,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,4JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Sex,Special Sentence,1JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,3JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Vandalism,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,39.5,D Felony,Assault,Discharged – End of Sentence,N/A,Yes
White - Hispanic,2010,M,29.5,C Felony,Sex,Special Sentence,7JD,Yes
White - Non-Hispanic,2010,F,29.5,C Felony,Trafficking,Parole,2JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,C Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,66.87,D Felony,OWI,Discharged – End of Sentence,N/A,Yes
White - Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Forgery/Fraud,Parole,2JD,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,66.87,Felony - Enhanced,Trafficking,Parole,8JD,Yes
White - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Sex,Special Sentence,5JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Burglary,Parole,8JD,Yes
Black - Non-Hispanic,2010,M,29.5,D Felony,Drug Possession,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,49.5,Felony - Enhanced,Trafficking,Parole,6JD,Yes
White - Non-Hispanic,2010,M,49.5,Felony - Enhanced,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,66.87,D Felony,OWI,Parole,4JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,C Felony,Sex,Special Sentence,8JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Burglary,Parole,1JD,Yes
White - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Trafficking,Parole,2JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2014,M,49.5,C Felony,Theft,N/A,N/A,No
White - Non-Hispanic,2010,M,29.5,D Felony,Drug Possession,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Sex Offender Registry/Residency,Parole,7JD,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Theft,Parole,7JD,Yes
White - Non-Hispanic,2010,F,29.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Assault,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,Serious Misdemeanor,Drug Possession,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,2JD,Yes
American Indian or Alaska Native - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Alcohol,Discharged – End of Sentence,N/A,Yes
Asian or Pacific Islander - Non-Hispanic,2010,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,Felony - Enhanced,Theft,Parole,8JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Burglary,Parole,4JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Traffic,Parole,6JD,Yes
Black - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Sex,Special Sentence,6JD,Yes
Black - Non-Hispanic,2010,M,39.5,D Felony,Drug Possession,Parole,6JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Sex,Special Sentence,3JD,Yes
Black - Non-Hispanic,2010,F,29.5,C Felony,Trafficking,Parole,7JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Burglary,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,F,29.5,Aggravated Misdemeanor,Forgery/Fraud,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Theft,Parole,3JD,Yes
White - Non-Hispanic,2010,F,29.5,C Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,F,21.5,D Felony,Other Drug,Parole,6JD,Yes
White - Non-Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,29.5,C Felony,Burglary,Parole,7JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Assault,Parole,6JD,Yes
Black - Non-Hispanic,2010,M,39.5,Felony - Enhanced,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,F,21.5,D Felony,Other Violent,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,66.87,D Felony,OWI,Parole,5JD,Yes
Asian or Pacific Islander - Non-Hispanic,2010,M,29.5,D Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Weapons,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Drug Possession,Parole,1JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,C Felony,Burglary,Parole,6JD,Yes
Black - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Assault,Parole,1JD,Yes
White - Hispanic,2010,M,39.5,D Felony,OWI,Parole,6JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Drug Possession,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Traffic,Parole,3JD,Yes
White - Hispanic,2010,M,21.5,Aggravated Misdemeanor,Burglary,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,7JD,Yes
Black - Non-Hispanic,2010,M,29.5,D Felony,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Forgery/Fraud,Parole,8JD,Yes
White - Non-Hispanic,2010,F,39.5,D Felony,Forgery/Fraud,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,1JD,Yes
Black - Non-Hispanic,2010,M,39.5,D Felony,Forgery/Fraud,Parole,7JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,29.5,D Felony,OWI,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,39.5,C Felony,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,OWI,Parole,2JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,5JD,Yes
White - Hispanic,2010,M,29.5,D Felony,Burglary,Parole,1JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Sex,Special Sentence,4JD,Yes
White - Non-Hispanic,2010,M,49.5,Felony - Enhanced,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Drug Possession,Parole,8JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,2JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Other Drug,Parole,3JD,Yes
White - Non-Hispanic,2010,M,49.5,B Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,66.87,D Felony,OWI,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,49.5,Felony - Enhanced,Other Drug,Parole,2JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Assault,Parole,1JD,Yes
American Indian or Alaska Native - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Trafficking,Parole,8JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Trafficking,Parole,2JD,Yes
White - Hispanic,2010,M,29.5,Serious Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Other Violent,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Traffic,Parole,2JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Theft,Parole,7JD,Yes
White - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Assault,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Assault,Discharged – End of Sentence,N/A,Yes
White - Hispanic,2010,M,21.5,C Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,8JD,Yes
White - Non-Hispanic,2010,M,49.5,Felony - Enhanced,Trafficking,Parole,1JD,Yes
Black - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Trafficking,Parole,7JD,Yes
Black - Non-Hispanic,2010,M,29.5,C Felony,Theft,Parole,6JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Weapons,Parole,7JD,Yes
Black - Non-Hispanic,2010,M,49.5,D Felony,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Forgery/Fraud,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,8JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,OWI,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,8JD,Yes
White - Non-Hispanic,2010,M,21.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,Felony - Enhanced,Assault,Parole,2JD,Yes
White - Hispanic,2010,F,66.87,D Felony,OWI,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,4JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,F,39.5,B Felony,Trafficking,Parole,5JD,Yes
White - Hispanic,2010,M,21.5,D Felony,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Theft,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Theft,Parole,4JD,Yes
White - Non-Hispanic,2010,M,49.5,B Felony,Trafficking,Parole,8JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Other Violent,Parole,8JD,Yes
Black - Non-Hispanic,2010,M,39.5,D Felony,Burglary,Parole,7JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Other Drug,Parole,8JD,Yes
Black - Non-Hispanic,2010,M,39.5,D Felony,Theft,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Traffic,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Theft,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,5JD,Yes
White - Hispanic,2010,M,29.5,D Felony,Theft,Parole,7JD,Yes
White - Non-Hispanic,2010,F,29.5,C Felony,Theft,Parole,6JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Forgery/Fraud,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,C Felony,Burglary,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,1JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,1JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Drug Possession,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Burglary,Parole,1JD,Yes
White - Non-Hispanic,2010,F,39.5,B Felony,Other Criminal,Parole,2JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,2JD,Yes
White - Hispanic,2010,M,39.5,Felony - Enhanced,Burglary,Parole,7JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,3JD,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,66.87,B Felony,Trafficking,Parole,2JD,Yes
Black - Non-Hispanic,2010,F,49.5,D Felony,Drug Possession,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,2JD,Yes
Black - Non-Hispanic,2010,M,29.5,C Felony,Theft,Parole,6JD,Yes
White - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Drug Possession,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,66.87,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Traffic,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,39.5,C Felony,Theft,Parole,7JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,2JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Trafficking,Parole,7JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Assault,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,6JD,Yes
Black - Non-Hispanic,2010,M,39.5,D Felony,OWI,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,OWI,Parole,1JD,Yes
White - Non-Hispanic,2010,M,39.5,Felony - Enhanced,Burglary,Parole,2JD,Yes
American Indian or Alaska Native - Non-Hispanic,2010,M,21.5,D Felony,Theft,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,21.5,C Felony,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Assault,Parole,1JD,Yes
Black - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Special Sentence,2JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Theft,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,49.5,Felony - Enhanced,Burglary,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,C Felony,Trafficking,Parole,2JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Drug Possession,Parole,8JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Forgery/Fraud,Parole,7JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Assault,Parole,7JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,7JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Sex,Special Sentence,5JD,Yes
Black - Non-Hispanic,2010,M,49.5,D Felony,Burglary,Parole,6JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Theft,Parole,6JD,Yes
Black - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Traffic,Parole,5JD,Yes
Black - Non-Hispanic,2010,F,49.5,C Felony,Trafficking,Parole,7JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Theft,Parole,7JD,Yes
White - Non-Hispanic,2010,M,49.5,B Felony,Robbery,Parole,8JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Sex,Special Sentence,7JD,Yes
White - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,1JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Forgery/Fraud,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,OWI,Parole,3JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,8JD,Yes
Black - Non-Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,21.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,Felony - Enhanced,Trafficking,Parole,8JD,Yes
White - Hispanic,2010,M,29.5,D Felony,Trafficking,Parole,6JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,OWI,Parole,6JD,Yes
White - Non-Hispanic,2010,F,39.5,D Felony,Theft,Parole,3JD,Yes
Black - Non-Hispanic,2010,M,39.5,Felony - Enhanced,Trafficking,Parole,1JD,Yes
White - Non-Hispanic,2010,M,39.5,B Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,49.5,C Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Vandalism,Parole,8JD,Yes
White - Non-Hispanic,2010,M,49.5,Felony - Enhanced,OWI,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Burglary,Parole,7JD,Yes
Black - Non-Hispanic,2010,M,29.5,D Felony,Drug Possession,Parole,1JD,Yes
White - Non-Hispanic,2010,F,21.5,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,49.5,D Felony,OWI,Parole,2JD,Yes
White - Non-Hispanic,2010,M,29.5,B Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,Yes
