Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism Likelihood,Number American Indian or Alaska Native - Non-Hispanic,Number Asian or Pacific Islander - Non-Hispanic,Number Black - Non-Hispanic,Number White - Hispanic,Number White - Non-Hispanic
2010,M,45-54,D Felony,Burglary,Parole,6JD,0.5,0,0,1,0,3
2010,M,35-44,D Felony,Theft,Parole,6JD,0.6666666666666666,0,0,0,0,3
2010,M,45-54,Aggravated Misdemeanor,Traffic,Parole,5JD,0.5,0,0,2,0,0
2010,F,45-54,C Felony,Trafficking,Parole,7JD,0.6666666666666666,0,0,2,0,1
2010,M,45-54,B Felony,Robbery,Parole,8JD,0.5,0,0,0,0,2
2010,M,25-34,C Felony,Trafficking,Parole,8JD,0.375,0,0,5,0,11
2010,M,45-54,Felony - Enhanced,Trafficking,Parole,8JD,0.5,0,0,0,0,4
2010,M,25-34,D Felony,Trafficking,Parole,6JD,0.25,0,0,1,1,2
2010,M,45-54,D Felony,OWI,Parole,6JD,0.2,0,0,1,1,3
2010,F,35-44,D Felony,Theft,Parole,3JD,0.3333333333333333,0,0,0,0,3
2010,M,35-44,Felony - Enhanced,Trafficking,Parole,1JD,0.3333333333333333,0,0,5,0,4
2010,M,35-44,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.125,0,0,2,5,1
2010,M,45-54,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.38461538461538464,0,0,2,4,7
2010,M,Under 25,D Felony,Vandalism,Parole,8JD,1.0,0,0,0,0,1
2010,M,45-54,Felony - Enhanced,OWI,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2010,F,Under 25,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,0.6,1,0,3,0,1
2010,M,45-54,D Felony,OWI,Parole,2JD,0.16666666666666666,0,0,1,0,5
2010,M,45-54,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.3,0,0,3,1,6
2010,M,25-34,Felony - Enhanced,Theft,Parole,2JD,1.0,0,0,0,0,2
2010,M,45-54,B Felony,Other Violent,Parole,1JD,1.0,0,0,1,0,0
2010,M,Under 25,Aggravated Misdemeanor,Other Criminal,Parole,1JD,1.0,0,0,1,0,0
2010,M,45-54,D Felony,Theft,Parole,7JD,0.3333333333333333,0,0,1,0,2
2010,M,25-34,D Felony,Other Drug,Parole,5JD,1.0,0,0,2,0,0
2010,M,35-44,C Felony,Trafficking,Parole,7JD,0.18181818181818182,0,0,9,0,2
2010,M,45-54,D Felony,Drug Possession,Discharged – End of Sentence,N/A,0.5555555555555556,1,0,1,0,7
2010,M,35-44,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.2,0,1,5,0,9
2010,M,Under 25,C Felony,Vandalism,Parole,8JD,1.0,0,0,1,0,0
2010,M,25-34,B Felony,Trafficking,Parole,8JD,0.75,0,0,0,0,4
2010,M,55 and Older,C Felony,Theft,Parole,8JD,1.0,0,0,0,0,1
2010,F,25-34,C Felony,Theft,Parole,7JD,0.3333333333333333,0,0,0,0,3
2010,M,25-34,C Felony,Robbery,Parole,1JD,0.6,0,0,2,0,3
2010,M,25-34,B Felony,Trafficking,Discharged – End of Sentence,N/A,0.16666666666666666,0,0,4,8,6
2010,F,Under 25,C Felony,Trafficking,Parole,5JD,0.6666666666666666,0,0,1,0,2
2010,M,35-44,D Felony,Assault,Parole,5JD,0.3333333333333333,0,0,2,0,1
2010,M,Under 25,Aggravated Misdemeanor,Forgery/Fraud,Discharged – End of Sentence,N/A,0.5,0,0,0,0,2
2010,M,25-34,Aggravated Misdemeanor,Sex,Special Sentence,8JD,1.0,0,0,1,0,0
2010,M,25-34,C Felony,Other Violent,Parole,1JD,1.0,0,0,1,0,0
2010,M,25-34,D Felony,Trafficking,Parole,5JD,0.5,0,0,1,0,9
2010,M,45-54,D Felony,Theft,Discharged – End of Sentence,N/A,0.15,0,0,6,1,13
2010,M,35-44,D Felony,Theft,Discharged – End of Sentence,N/A,0.3125,0,0,1,1,14
2010,M,35-44,D Felony,OWI,Discharged – End of Sentence,N/A,0.16666666666666666,2,0,4,7,17
2010,M,45-54,B Felony,Other Criminal,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,0,1,2
2010,M,45-54,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,1,0,5
2010,M,35-44,C Felony,Robbery,Discharged – End of Sentence,N/A,0.4444444444444444,0,0,5,0,4
2010,M,45-54,D Felony,Assault,Parole,8JD,0.3333333333333333,0,0,0,0,3
2010,M,45-54,C Felony,Trafficking,Parole,1JD,0.16666666666666666,0,0,1,0,5
2010,F,35-44,Aggravated Misdemeanor,Forgery/Fraud,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2010,M,25-34,Aggravated Misdemeanor,Forgery/Fraud,Parole,5JD,1.0,0,0,0,0,1
2010,M,25-34,C Felony,Trafficking,Parole,6JD,0.3333333333333333,0,0,0,0,3
2010,M,25-34,C Felony,Sex,Special Sentence,8JD,1.0,0,0,0,0,1
2010,M,25-34,Felony - Enhanced,Trafficking,Parole,5JD,0.3333333333333333,0,0,1,0,5
2010,M,35-44,Felony - Enhanced,OWI,Parole,1JD,1.0,0,0,0,0,2
2010,M,25-34,D Felony,Burglary,Parole,6JD,0.25,0,0,0,0,4
2010,F,45-54,C Felony,Trafficking,Parole,5JD,0.5,0,0,0,0,2
2010,F,Under 25,Aggravated Misdemeanor,Theft,Parole,1JD,1.0,0,0,0,0,1
2010,M,25-34,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.42857142857142855,1,0,5,2,6
2010,M,35-44,D Felony,Burglary,Discharged – End of Sentence,N/A,0.19047619047619047,1,1,6,2,11
2010,M,35-44,D Felony,Trafficking,Parole,8JD,1.0,0,0,0,0,1
2010,M,Under 25,D Felony,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2010,M,25-34,C Felony,Burglary,Discharged – End of Sentence,N/A,0.25,0,0,4,0,8
2010,F,25-34,Felony - Enhanced,Forgery/Fraud,Parole,3JD,1.0,0,0,0,0,1
2010,M,45-54,C Felony,Assault,Parole,5JD,1.0,0,0,0,0,1
2010,M,25-34,D Felony,Burglary,Discharged – End of Sentence,N/A,0.3125,0,0,5,3,24
2010,M,25-34,Felony - Enhanced,Trafficking,Parole,2JD,0.5,0,0,0,0,2
2010,M,35-44,Felony - Enhanced,OWI,Parole,8JD,1.0,0,0,0,0,1
2010,M,45-54,D Felony,Murder/Manslaughter,Parole,5JD,1.0,0,0,0,0,1
2010,M,35-44,Felony - Enhanced,Other Drug,Parole,5JD,1.0,0,0,0,0,1
2010,M,35-44,B Felony,Trafficking,Parole,5JD,0.34782608695652173,0,0,3,1,19
2010,M,55 and Older,Felony - Enhanced,OWI,Parole,3JD,1.0,0,0,0,0,1
2010,M,35-44,C Felony,Burglary,Discharged – End of Sentence,N/A,0.2727272727272727,0,0,5,0,6
2010,M,55 and Older,C Felony,Theft,Discharged – End of Sentence,N/A,1.0,0,1,1,0,0
2010,M,35-44,C Felony,Other Drug,Parole,1JD,1.0,0,0,0,0,1
2010,M,35-44,C Felony,Trafficking,Parole,3JD,0.25,0,0,1,0,3
2010,M,Under 25,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.23809523809523808,0,0,11,5,5
2010,M,25-34,D Felony,Trafficking,Parole,4JD,0.5,0,0,0,0,2
2010,M,45-54,D Felony,OWI,Discharged – End of Sentence,N/A,0.13636363636363635,1,0,3,4,14
2010,M,45-54,Felony - Enhanced,Drug Possession,Parole,1JD,1.0,0,0,1,0,0
2010,F,25-34,C Felony,Burglary,Parole,5JD,1.0,0,0,0,0,1
2010,F,35-44,D Felony,Trafficking,Parole,8JD,1.0,0,0,0,0,1
2010,M,25-34,Aggravated Misdemeanor,Drug Possession,Parole,8JD,1.0,0,0,0,0,1
