Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Recidivism Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Drug,Trafficking,Parole,4JD,Yes,New,53,Aggravated Misdemeanor,Public Order,OWI,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Tech,53,,,,Yes
2010,2013,White - Non-Hispanic,F,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Tech,54,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,4JD,Yes,Tech,54,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Tech,55,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Tech,55,,,,No
2010,2013,American Indian or Alaska Native - Non-Hispanic,M,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,New,57,C Felony,Violent,Robbery,No
2010,2013,Black - Non-Hispanic,M,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Parole,7JD,Yes,Tech,57,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Vandalism,Parole,2JD,Yes,New,58,Aggravated Misdemeanor,Public Order,Alcohol,Yes
2010,2013,White - Non-Hispanic,M,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,58,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Drug,Other Drug,Parole,3JD,Yes,Tech,60,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,New,62,Aggravated Misdemeanor,Violent,Assault,Yes
2010,2013,White - Non-Hispanic,F,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,62,,,,Yes
2010,2013,Black - Non-Hispanic,F,45-54,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Tech,63,,,,No
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Tech,64,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Violent,Sex,Special Sentence,5JD,Yes,Tech,65,,,,Yes
2010,2013,White - Non-Hispanic,F,25-34,D Felony,Property,Forgery/Fraud,Parole,7JD,Yes,Tech,66,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Property,Forgery/Fraud,Parole,6JD,Yes,Tech,66,,,,Yes
2010,2013,White - Hispanic,M,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Tech,68,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Property,Forgery/Fraud,Parole,3JD,Yes,Tech,70,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Violent,Sex,Special Sentence,5JD,Yes,Tech,71,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Tech,71,,,,Yes
2010,2013,Black - Non-Hispanic,M,Under 25,D Felony,Violent,Sex,Special Sentence,7JD,Yes,Tech,75,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,76,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Violent,Sex,Special Sentence,7JD,Yes,Tech,78,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Violent,Other Violent,Parole,5JD,Yes,Tech,79,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Property,Burglary,Parole,5JD,Yes,Tech,80,,,,Yes
2010,2013,White - Non-Hispanic,F,25-34,D Felony,Violent,Assault,Parole,5JD,Yes,Tech,80,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,D Felony,Violent,Assault,Parole,6JD,Yes,Tech,80,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,D Felony,Violent,Sex,Special Sentence,3JD,Yes,New,83,Aggravated Misdemeanor,Property,Theft,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,83,,,,Yes
2010,2013,Black - Non-Hispanic,M,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Tech,84,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Theft,Parole,3JD,Yes,Tech,85,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,3JD,Yes,Tech,86,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,New,88,Aggravated Misdemeanor,Public Order,Alcohol,No
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Violent,Sex,Discharged – End of Sentence,,Yes,Tech,89,,,,No
2010,2013,White - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Drug,Trafficking,Parole,5JD,Yes,Tech,90,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,Yes,Tech,90,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Violent,Assault,Parole,5JD,Yes,Tech,92,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,New,94,Aggravated Misdemeanor,Public Order,Other Public Order,No
2010,2013,American Indian or Alaska Native - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Theft,Special Sentence,6JD,Yes,Tech,94,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,New,95,Serious Misdemeanor,Public Order,Flight/Escape,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,New,96,D Felony,Public Order,Weapons,Yes
2010,2013,White - Non-Hispanic,F,35-44,C Felony,Drug,Trafficking,Parole,3JD,Yes,Tech,98,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,New,100,Aggravated Misdemeanor,Public Order,Alcohol,No
2010,2013,White - ,M,45-54,D Felony,Violent,Assault,Parole,4JD,Yes,Tech,100,,,,Yes
2010,2013,White - Non-Hispanic,F,35-44,C Felony,Property,Arson,Parole,5JD,Yes,New,101,C Felony,Property,Arson,Yes
2010,2013,Black - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,New,103,D Felony,Property,Burglary,No
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Public Order,Flight/Escape,Parole,3JD,Yes,Tech,103,,,,Yes
2010,2013,American Indian or Alaska Native - Non-Hispanic,M,25-34,D Felony,Violent,Assault,Parole,3JD,Yes,Tech,103,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Violent,Assault,Parole,5JD,Yes,Tech,105,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,D Felony,Property,Burglary,Parole,4JD,Yes,New,108,D Felony,Property,Burglary,Yes
2010,2013,American Indian or Alaska Native - Non-Hispanic,M,35-44,C Felony,Property,Burglary,Parole,7JD,Yes,Tech,108,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Tech,109,,,,No
2014,2017,White - Non-Hispanic,M,35-44,C Felony,Violent,Sex,,,No,,,,,,No
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,New,110,Serious Misdemeanor,Violent,Assault,No
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Property,Theft,Parole,7JD,Yes,Tech,110,,,,Yes
2010,2013,White - Non-Hispanic,F,Under 25,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,New,112,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
2010,2013,White - Non-Hispanic,M,55 and Older,Aggravated Misdemeanor,Public Order,Traffic,Parole,2JD,Yes,Tech,112,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Violent,Sex,Special Sentence,4JD,Yes,Tech,113,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,C Felony,Drug,Trafficking,Parole,4JD,Yes,Tech,114,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Violent,Sex,Special Sentence,1JD,Yes,Tech,115,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Burglary,Parole,3JD,Yes,Tech,115,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Vandalism,Parole,3JD,Yes,Tech,116,,,,Yes
2010,2013,Black - Non-Hispanic,M,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Tech,116,,,,No
2010,2013,White - Hispanic,M,25-34,C Felony,Violent,Sex,Special Sentence,7JD,Yes,Tech,117,,,,Yes
2010,2013,White - Non-Hispanic,F,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Tech,119,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Property,Theft,Parole,5JD,Yes,New,120,Aggravated Misdemeanor,Public Order,Traffic,Yes
2010,2013,White - Non-Hispanic,M,45-54,C Felony,Property,Theft,Parole,5JD,Yes,Tech,121,,,,Yes
2010,2013,White - Non-Hispanic,M,55 and Older,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,New,122,D Felony,Public Order,OWI,No
2010,2013,White - Hispanic,M,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,124,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Property,Forgery/Fraud,Parole,2JD,Yes,New,127,D Felony,Property,Theft,Yes
2010,2013,White - Non-Hispanic,M,35-44,C Felony,Property,Theft,Parole,5JD,Yes,Tech,127,,,,Yes
2010,2013,White - Non-Hispanic,M,55 and Older,Felony - Enhanced,Drug,Trafficking,Parole,8JD,Yes,New,129,Serious Misdemeanor,Drug,Drug Possession,Yes
2010,2013,White - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,New,129,Aggravated Misdemeanor,Violent,Assault,No
2010,2013,White - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,Yes,Tech,131,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,D Felony,Property,Burglary,Parole,5JD,Yes,New,132,Aggravated Misdemeanor,Property,Theft,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Burglary,Parole,8JD,Yes,Tech,132,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,D Felony,Drug,Drug Possession,Parole,3JD,Yes,New,133,D Felony,Drug,Trafficking,Yes
2010,2013,Black - Non-Hispanic,M,45-54,Felony - Enhanced,Drug,Trafficking,Parole,6JD,Yes,Tech,133,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,Felony - Enhanced,Property,Theft,Parole,5JD,Yes,Tech,134,,,,Yes
2010,2013,White - Non-Hispanic,M,55 and Older,D Felony,Public Order,OWI,Parole,4JD,Yes,Tech,134,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Burglary,Parole,5JD,Yes,Tech,134,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,C Felony,Violent,Sex,Special Sentence,8JD,Yes,Tech,135,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Property,Burglary,Parole,1JD,Yes,Tech,137,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,Aggravated Misdemeanor,Property,Theft,Parole,5JD,Yes,Tech,138,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Drug,Trafficking,Parole,2JD,Yes,New,139,Serious Misdemeanor,Drug,Drug Possession,Yes
2010,2013,White - Non-Hispanic,M,25-34,Aggravated Misdemeanor,Other,Special Sentence Revocation,Special Sentence,4JD,Yes,Tech,139,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,New,140,C Felony,Property,Burglary,No
2014,2017,Black - Non-Hispanic,M,45-54,C Felony,Property,Theft,,,No,,,,,,No
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Tech,140,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Public Order,Sex Offender Registry/Residency,Parole,7JD,Yes,New,142,D Felony,Public Order,Other Public Order,Yes
2010,2013,White - Non-Hispanic,M,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,142,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Theft,Parole,7JD,Yes,Tech,143,,,,Yes
2010,2013,White - Non-Hispanic,F,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,144,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Drug,Trafficking,Parole,3JD,Yes,Tech,144,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Violent,Assault,Parole,3JD,Yes,Tech,144,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,Serious Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,New,145,Aggravated Misdemeanor,Public Order,Alcohol,No
2010,2013,Black - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,New,145,Aggravated Misdemeanor,Violent,Assault,No
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Tech,145,,,,Yes
2010,2013,American Indian or Alaska Native - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,New,146,Aggravated Misdemeanor,Public Order,Alcohol,No
2010,2013,Asian or Pacific Islander - Non-Hispanic,M,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Tech,146,,,,No
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Property,Burglary,Parole,5JD,Yes,New,147,Aggravated Misdemeanor,Property,Burglary,Yes
2010,2013,White - Non-Hispanic,M,25-34,Felony - Enhanced,Property,Theft,Parole,8JD,Yes,Tech,147,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Property,Burglary,Parole,4JD,Yes,Tech,147,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Tech,148,,,,No
2010,2013,White - Non-Hispanic,M,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,6JD,Yes,Tech,148,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,New,149,D Felony,Violent,Assault,No
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,6JD,Yes,Tech,149,,,,Yes
2010,2013,Black - Non-Hispanic,M,35-44,D Felony,Drug,Drug Possession,Parole,6JD,Yes,Tech,149,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Violent,Sex,Special Sentence,3JD,Yes,Tech,150,,,,Yes
2010,2013,Black - Non-Hispanic,F,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Tech,151,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,New,152,C Felony,Property,Burglary,No
2010,2013,Black - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,155,,,,Yes
2010,2013,White - Non-Hispanic,F,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,5JD,Yes,Tech,156,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Theft,Parole,3JD,Yes,New,157,D Felony,Public Order,Traffic,Yes
2010,2013,White - Non-Hispanic,F,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Tech,159,,,,Yes
2010,2013,White - Non-Hispanic,F,Under 25,D Felony,Drug,Other Drug,Parole,6JD,Yes,Tech,159,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,160,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,C Felony,Property,Burglary,Parole,7JD,Yes,Tech,160,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Violent,Assault,Parole,6JD,Yes,Tech,160,,,,Yes
2010,2013,Black - Non-Hispanic,M,35-44,Felony - Enhanced,Drug,Trafficking,Parole,5JD,Yes,Tech,162,,,,Yes
2010,2013,Black - Non-Hispanic,F,Under 25,D Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,Tech,162,,,,No
2010,2013,White - Non-Hispanic,M,55 and Older,D Felony,Public Order,OWI,Parole,5JD,Yes,Tech,163,,,,Yes
2010,2013,Asian or Pacific Islander - Non-Hispanic,M,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Tech,226,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Public Order,Weapons,Discharged – End of Sentence,,Yes,New,164,D Felony,Property,Forgery/Fraud,No
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,New,165,D Felony,Drug,Other Drug,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Drug,Drug Possession,Parole,1JD,Yes,New,165,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,Yes,New,166,Serious Misdemeanor,Drug,Drug Possession,No
2010,2013,White - Non-Hispanic,M,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,New,166,Aggravated Misdemeanor,Property,Theft,No
2010,2013,White - Non-Hispanic,M,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,Tech,166,,,,Yes
2010,2013,Black - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,Yes,New,167,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,No
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Violent,Assault,Parole,1JD,Yes,New,167,Aggravated Misdemeanor,Violent,Assault,Yes
2010,2013,White - Hispanic,M,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Tech,168,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Drug,Trafficking,Parole,3JD,Yes,Tech,169,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Tech,169,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Public Order,Traffic,Parole,3JD,Yes,New,170,Aggravated Misdemeanor,Public Order,Other Public Order,Yes
2010,2013,White - Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,New,170,D Felony,Public Order,Weapons,No
2010,2013,Black - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Tech,170,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,New,171,Aggravated Misdemeanor,Public Order,Other Public Order,No
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Forgery/Fraud,Parole,8JD,Yes,New,172,Aggravated Misdemeanor,Public Order,Traffic,Yes
2010,2013,White - Non-Hispanic,F,35-44,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Tech,172,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,New,173,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes
2010,2013,Black - Non-Hispanic,M,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,Yes,Tech,173,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,New,174,C Felony,Property,Burglary,No
2010,2013,Black - Non-Hispanic,M,25-34,D Felony,Public Order,OWI,Parole,3JD,Yes,Tech,174,,,,Yes
2010,2013,Black - Non-Hispanic,M,35-44,C Felony,Property,Burglary,Parole,5JD,Yes,Tech,174,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,New,175,Aggravated Misdemeanor,Drug,Drug Possession,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Public Order,OWI,Parole,2JD,Yes,Tech,175,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Burglary,Parole,5JD,Yes,Tech,175,,,,Yes
2010,2013,White - Hispanic,M,25-34,D Felony,Property,Burglary,Parole,1JD,Yes,Tech,176,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,New,177,D Felony,Public Order,Other Public Order,No
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Violent,Sex,Special Sentence,4JD,Yes,Tech,177,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,Felony - Enhanced,Drug,Trafficking,Parole,5JD,Yes,New,178,Aggravated Misdemeanor,Drug,Drug Possession,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Tech,178,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Burglary,Parole,2JD,Yes,Tech,179,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Drug,Other Drug,Parole,3JD,Yes,Tech,182,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,B Felony,Drug,Trafficking,Parole,5JD,Yes,New,227,Aggravated Misdemeanor,Drug,Drug Possession,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Public Order,Other Public Order,Discharged – End of Sentence,,Yes,New,183,Aggravated Misdemeanor,Violent,Assault,No
2010,2013,White - Non-Hispanic,M,55 and Older,D Felony,Public Order,OWI,Parole,5JD,Yes,Tech,183,,,,Yes
2010,2013,Black - Non-Hispanic,M,45-54,Felony - Enhanced,Drug,Other Drug,Parole,2JD,Yes,Tech,183,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Violent,Assault,Parole,1JD,Yes,New,184,D Felony,Violent,Assault,Yes
2010,2013,American Indian or Alaska Native - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,New,185,Aggravated Misdemeanor,Public Order,Weapons,No
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,New,187,Serious Misdemeanor,Drug,Drug Possession,No
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Drug,Trafficking,Parole,8JD,Yes,New,187,C Felony,Drug,Trafficking,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Drug,Trafficking,Parole,2JD,Yes,Tech,188,,,,Yes
2010,2013,White - Hispanic,M,25-34,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Tech,188,,,,No
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Violent,Other Violent,Parole,3JD,Yes,Tech,189,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Tech,190,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Public Order,Traffic,Parole,2JD,Yes,Tech,190,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,D Felony,Property,Theft,Parole,7JD,Yes,New,191,D Felony,Property,Burglary,Yes
2010,2013,White - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Violent,Assault,Parole,5JD,Yes,Tech,191,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,New,192,C Felony,Property,Theft,No
2010,2013,White - Hispanic,M,Under 25,C Felony,Drug,Trafficking,Parole,3JD,Yes,Tech,193,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Burglary,Parole,8JD,Yes,Tech,193,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,Felony - Enhanced,Drug,Trafficking,Parole,1JD,Yes,New,194,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
2010,2013,Black - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,New,194,C Felony,Property,Burglary,No
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Drug,Trafficking,Parole,7JD,Yes,Tech,195,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,C Felony,Property,Theft,Parole,6JD,Yes,Tech,195,,,,Yes
